indicador;unidade;codigo;nome;periodicidade;grupo;tipo_grafico;key;acumular_12m;mostrar_dashboard;ordem
PIB - R$ (milhões);R$;4382;PIB acumulado dos últimos 12 meses - Valores correntes (R$ milhões);mensal;Crescimento Econômico;linhas;pib_r;;sim;1
PIB - US$ (milhões);US$;4192;PIB acumulado dos últimos 12 meses - Em US$ milhões;mensal;Crescimento Econômico;linhas;pib_us;;sim;1
Crescimento do PIB - Var. % anual;%;7326;Produto Interno Bruto - Taxa de variação real no ano;anual;Crescimento Econômico;barras;crescimento_pib_anual;;sim;1
PIB Agropecuária - Var. % anual;%;7327;PIB - Agropecuária - Taxa de variação real no ano;anual;Crescimento Econômico;barras;pib_agropecuaria_anual;;sim;1
PIB Indústria - Var. % anual;%;7328;PIB - Indústria - Taxa de variação real no ano;anual;Crescimento Econômico;barras;pib_industria_anual;;sim;1
PIB Serviços - Var. % anual;%;7329;PIB - Serviços - Taxa de variação real no ano;anual;Crescimento Econômico;barras;pib_servicos_anual;;sim;1
Consumo de energial Industrial - GWh;GWh;1404;Consumo de energia elétrica - Brasil - Industrial;mensal;Crescimento Econômico;linhas;consumo_energial_industrial;;sim;1
Consumo de energia Comercial - GWh;GWh;1402;Consumo de energia elétrica - Comercial;mensal;Crescimento Econômico;linhas;consumo_energia_comercial;;sim;1
PIB dessazonalizado trimestral;índice;22109;Produto Interno Bruto trimestral dessazonalizado;trimestral;Crescimento Econômico;linhas;pib_dessaz;;não;1
PIB efetivo vs potencial e hiato do produto;%;;PIB efetivo, potencial e hiato do produto;trimestral;Crescimento Econômico;linhas;pib_efetivo_potencial_hiato;;sim;1

Taxa de desocupação - PNADC;%;24369;Taxa de desocupação - PNADC;mensal;Mercado de Trabalho;linhas;taxa_desocupacao_pnadc;;sim;1
Rendimento médio real habitual das pessoas ocupadas - PNADC;R$;24382;Rendimento médio real habitual das pessoas ocupadas - PNADC;mensal;Mercado de Trabalho;linhas;rendimento_medio_real_habitual;;sim;1
População na força de trabalho - PNADC;unidades (mil);24378;População na força de trabalho - PNADC;mensal;Mercado de Trabalho;linhas;populacao_forca_trabalho_pnadc;;sim;1
Pessoas ocupadas - PNADC;unidades (mil);24379;Pessoas ocupadas - PNADC;mensal;Mercado de Trabalho;linhas;pessoas_ocupadas_pnadc;;sim;1

Endividamento das famílias com o SFN em relação à renda acumulada UDM;%;29037;Endividamento Famílias SFN / renda 12m;mensal;Endividamento das famílias;linhas;endividamento_familias_sfn;;sim;1
Endividamento das famílias com o SFN ex-crédito habitacional em relação à renda acumulada UDM;%;29038;Endividamento Famílias SFN / Renda 12m ex-habitacional;mensal;Endividamento das famílias;linhas;endividamento_familias_ex_hab;;sim;1
Taxa média de juros das operações de crédito PF;%;20716;Taxa média de juros das operações de crédito - Pessoa Física;mensal;Endividamento das famílias;linhas;taxa_juros_pf;;sim;1
Taxa média de juros das operações de crédito PJ;%;20718;Taxa média de juros das operações de crédito - Pessoa Jurídica;mensal;Endividamento das famílias;linhas;taxa_juros_pj;;sim;1
Inadimplencia da Carteira - PF;%;21084;Inadimplência da carteira de crédito - Pessoa Física;mensal;Endividamento das famílias;linhas;inadimplencia_pf;;sim;1
Inadimplencia da Carteira - PJ;%;21083;Inadimplência da carteira de crédito - Pessoa Jurídica;mensal;Endividamento das famílias;linhas;inadimplencia_pj;;sim;1
Percentual da carteira com atraso entre 15 e 90 dias - PF;%;21005;Percentual da carteira com atraso entre 15 e 90 dias - Pessoas físicas;mensal;Endividamento das famílias;linhas;carteira_atraso_15_90_pf;;sim;1
